"regime","direction","n_trades","hit_rate","total_pnl","sharpe","max_dd","calmar"
"BULL_STRONG","LONG","0","0","0","0","0","0"
"BULL_WEAK","LONG","0","0","0","0","0","0"
"BEAR_WEAK","LONG","1275","6,4","-1606,7","-21,57","1606,7","-1"
"BEAR_STRONG","LONG","0","0","0","0","0","0"
"BULL_STRONG","SHORT","0","0","0","0","0","0"
"BULL_WEAK","SHORT","0","0","0","0","0","0"
"BEAR_WEAK","SHORT","1275","5,9","-4671,88","-44,8","4671,88","-1"
"BEAR_STRONG","SHORT","0","0","0","0","0","0"
"BULL_STRONG","L+S","0","0","0","0","0","0"
"BULL_WEAK","L+S","0","0","0","0","0","0"
"BEAR_WEAK","L+S","2168","5,6","-2303,05","-33,71","2303,05","-1"
"BEAR_STRONG","L+S","0","0","0","0","0","0"
