timestamp,agent,model,input_tokens,output_tokens,cost_usd,latency_ms
2026-05-13 16:14:40,unknown,claude-sonnet-4-6,2725,1203,0.02622,25146
2026-05-13 16:14:48,unknown,claude-haiku-4-5-20251001,957,558,0.002998,6279
2026-05-13 16:14:55,unknown,claude-haiku-4-5-20251001,611,361,0.001933,3866
2026-05-13 16:15:02,unknown,claude-haiku-4-5-20251001,1304,655,0.003663,6296
2026-05-13 16:15:22,unknown,claude-sonnet-4-6,3948,1095,0.028269,20101
2026-05-13 16:15:51,unknown,claude-sonnet-4-6,2698,1199,0.026079,20810
2026-05-13 16:15:59,unknown,claude-haiku-4-5-20251001,886,638,0.003261,7161
2026-05-13 16:16:05,unknown,claude-haiku-4-5-20251001,632,387,0.002054,4920
2026-05-13 16:16:13,unknown,claude-haiku-4-5-20251001,1300,587,0.003388,6485
2026-05-13 16:16:37,unknown,claude-sonnet-4-6,3980,1311,0.031605,24483
2026-05-13 16:17:16,unknown,claude-sonnet-4-6,2743,1236,0.026769,22690
2026-05-13 16:17:24,unknown,claude-haiku-4-5-20251001,935,569,0.003024,6252
2026-05-13 16:17:31,unknown,claude-haiku-4-5-20251001,637,430,0.00223,4894
2026-05-13 16:17:40,unknown,claude-haiku-4-5-20251001,1297,577,0.003346,8106
2026-05-13 16:18:04,unknown,claude-sonnet-4-6,3985,1222,0.030285,23161
2026-05-13 16:37:04,unknown,claude-sonnet-4-6,2717,1167,0.025656,33321
2026-05-13 16:37:24,unknown,claude-haiku-4-5-20251001,957,573,0.003058,10829
2026-05-13 16:37:34,unknown,claude-haiku-4-5-20251001,611,338,0.001841,4539
2026-05-13 16:37:43,unknown,claude-haiku-4-5-20251001,1380,661,0.003748,7186
2026-05-13 16:38:05,unknown,claude-sonnet-4-6,3924,1012,0.026952,21775
2026-05-13 16:39:05,unknown,claude-sonnet-4-6,2708,1204,0.026184,45372
2026-05-13 16:39:17,unknown,claude-haiku-4-5-20251001,938,592,0.003118,7031
2026-05-13 16:39:25,unknown,claude-haiku-4-5-20251001,626,345,0.001881,4101
2026-05-13 16:39:33,unknown,claude-haiku-4-5-20251001,1300,614,0.003496,6740
2026-05-13 16:40:01,unknown,claude-sonnet-4-6,3922,1310,0.031416,27481
2026-05-13 16:40:46,unknown,claude-sonnet-4-6,2738,1241,0.026829,27740
2026-05-13 16:41:00,unknown,claude-haiku-4-5-20251001,935,642,0.003316,11476
2026-05-13 16:41:11,unknown,claude-haiku-4-5-20251001,637,366,0.001974,6200
2026-05-13 16:41:20,unknown,claude-haiku-4-5-20251001,1297,658,0.00367,7459
