timestamp,market,regime,direction,dow_brt,whitelist_tier,whitelist_reason,scanner_score,mesa_consensus,mesa_sinal,mentor_decision,mentor_confidence,entry_price,stop_price,target_price,atr_proxy_pct,mode
2026-05-16T02:56:02Z,TEST_MANUAL,BULL_WEAK,LONG,5,observe,manual test,30.0000,CAOS,,,0.00,0.00000000,0.00000000,0.00000000,0.0000,paper
2026-05-20T02:55:17Z,VVVUSDT,BULL_STRONG,LONG,2,observe,BULL_STRONG + LONG (validated cross-period; edge +0.39R holdout),38.0000,MEDIO_2,LONG,APROVAR,0.00,0.00000000,0.00000000,0.00000000,0.0000,paper
2026-05-20T13:41:25Z,LITUSDT,BULL_STRONG,LONG,3,observe,BULL_STRONG + LONG (validated cross-period; edge +0.39R holdout),77.0000,,,APROVAR,0.00,0.00000000,0.00000000,0.00000000,0.0000,live
2026-05-20T13:41:32Z,DASHUSDT,BULL_STRONG,LONG,3,observe,BULL_STRONG + LONG (validated cross-period; edge +0.39R holdout),41.0000,,,APROVAR,0.00,0.00000000,0.00000000,0.00000000,0.0000,live
2026-05-20T14:08:36Z,DASHUSDT,BULL_STRONG,LONG,3,observe,BULL_STRONG + LONG (validated cross-period; edge +0.39R holdout),43.0000,,,APROVAR,0.00,0.00000000,0.00000000,0.00000000,0.0000,live
2026-05-20T14:08:44Z,LITUSDT,BULL_STRONG,LONG,3,observe,BULL_STRONG + LONG (validated cross-period; edge +0.39R holdout),90.0000,,,APROVAR,0.00,0.00000000,0.00000000,0.00000000,0.0000,live
2026-05-20T18:13:04Z,BTCUSDT,BULL_WEAK,LONG,3,observe,BULL_WEAK LONG -- paper coleta para verificar se structural break e permanente,0.0000,,,VETAR,0.00,0.00000000,0.00000000,0.00000000,0.0000,paper
2026-05-20T18:22:31Z,BTCUSDT,BULL_WEAK,LONG,3,observe,BULL_WEAK LONG -- paper coleta para verificar se structural break e permanente,0.0000,,,VETAR_MCE,0.00,0.00000000,0.00000000,0.00000000,0.0000,paper
2026-05-22T19:49:32Z,BTCUSDT,BULL_WEAK,LONG,5,observe,"BULL_WEAK LONG -- paper tier (re-validated 2026-05-23 +2.08pp EV, 1127 sigs/1y). Forward validation 30d.",100.0000,MEDIO_2,SHORT,VETAR,0.00,75865.00000000,74347.70000000,83451.50000000,2.0000,live
2026-05-22T19:50:46Z,RENDERUSDT,BULL_WEAK,LONG,5,observe,"BULL_WEAK LONG -- paper tier (re-validated 2026-05-23 +2.08pp EV, 1127 sigs/1y). Forward validation 30d.",100.0000,CAOS,,,0.00,1.87910000,1.84151800,2.06701000,2.0000,live
2026-05-22T20:21:11Z,BTCUSDT,BULL_WEAK,LONG,5,observe,"BULL_WEAK LONG -- paper tier (re-validated 2026-05-23 +2.08pp EV, 1127 sigs/1y). Forward validation 30d.",100.0000,MEDIO_2,LONG,VETAR,0.00,75897.00000000,74379.06000000,83486.70000000,2.0000,live
2026-05-22T20:23:02Z,RENDERUSDT,BULL_WEAK,LONG,5,observe,"BULL_WEAK LONG -- paper tier (re-validated 2026-05-23 +2.08pp EV, 1127 sigs/1y). Forward validation 30d.",100.0000,MEDIO_2,NEUTRO,VETAR,0.00,1.87750000,1.83995000,2.06525000,2.0000,live
2026-05-22T20:51:25Z,BTCUSDT,BULL_WEAK,LONG,5,observe,"BULL_WEAK LONG -- paper tier (re-validated 2026-05-23 +2.08pp EV, 1127 sigs/1y). Forward validation 30d.",100.0000,MEDIO_2,NEUTRO,VETAR,0.00,75936.00000000,74417.28000000,83529.60000000,2.0000,live
2026-05-22T20:52:03Z,XMRUSDT,BULL_WEAK,LONG,5,observe,"BULL_WEAK LONG -- paper tier (re-validated 2026-05-23 +2.08pp EV, 1127 sigs/1y). Forward validation 30d.",100.0000,MEDIO_2,NEUTRO,VETAR,0.00,384.28000000,376.59440000,422.70800000,2.0000,live
2026-05-22T20:52:08Z,RENDERUSDT,BULL_WEAK,LONG,5,observe,"BULL_WEAK LONG -- paper tier (re-validated 2026-05-23 +2.08pp EV, 1127 sigs/1y). Forward validation 30d.",100.0000,MEDIO_2,LONG,VETAR,0.00,1.89360000,1.85572800,2.08296000,2.0000,live
2026-05-23T02:02:26Z,BTCUSDT,BULL_WEAK,LONG,5,observe,"BULL_WEAK LONG -- paper tier (re-validated 2026-05-23 +2.08pp EV, 1127 sigs/1y). Forward validation 30d.",100.0000,MEDIO_2,SHORT,VETAR,0.00,75488.00000000,73978.24000000,83036.80000000,2.0000,live
2026-05-23T02:02:50Z,XMRUSDT,BULL_WEAK,LONG,5,observe,"BULL_WEAK LONG -- paper tier (re-validated 2026-05-23 +2.08pp EV, 1127 sigs/1y). Forward validation 30d.",100.0000,CAOS,,,0.00,378.45000000,370.88100000,416.29500000,2.0000,live
2026-05-23T06:03:31Z,BTCUSDT,BULL_WEAK,LONG,6,observe,"BULL_WEAK LONG -- paper tier (re-validated 2026-05-23 +2.08pp EV, 1127 sigs/1y). Forward validation 30d.",100.0000,MEDIO_2,SHORT,VETAR,0.00,75464.00000000,73954.72000000,83010.40000000,2.0000,live
2026-05-23T06:03:54Z,XMRUSDT,BULL_WEAK,LONG,6,observe,"BULL_WEAK LONG -- paper tier (re-validated 2026-05-23 +2.08pp EV, 1127 sigs/1y). Forward validation 30d.",100.0000,CAOS,,,0.00,377.25000000,369.70500000,414.97500000,2.0000,live
2026-05-24T06:02:24Z,XMRUSDT,BULL_WEAK,LONG,0,observe,"BULL_WEAK LONG -- paper tier (re-validated 2026-05-23 +2.08pp EV, 1127 sigs/1y). Forward validation 30d.",100.0000,CAOS,,,0.00,386.48000000,378.75040000,425.12800000,2.0000,live
2026-05-24T06:02:41Z,SUIUSDT,BULL_WEAK,LONG,0,observe,"BULL_WEAK LONG -- paper tier (re-validated 2026-05-23 +2.08pp EV, 1127 sigs/1y). Forward validation 30d.",100.0000,CAOS,,,0.00,1.05900000,1.03782000,1.16490000,2.0000,live
2026-05-24T14:10:40Z,RENDERUSDT,BULL_WEAK,LONG,0,observe,"BULL_WEAK LONG -- paper tier (re-validated 2026-05-23 +2.08pp EV, 1127 sigs/1y). Forward validation 30d.",100.0000,CAOS,,,0.00,1.95150000,1.91247000,2.14665000,2.0000,live
2026-05-24T14:10:55Z,SUIUSDT,BULL_WEAK,LONG,0,observe,"BULL_WEAK LONG -- paper tier (re-validated 2026-05-23 +2.08pp EV, 1127 sigs/1y). Forward validation 30d.",100.0000,CAOS,,,0.00,1.04960000,1.02860800,1.15456000,2.0000,live
2026-05-24T14:16:46Z,BTCUSDT,BULL_WEAK,LONG,0,observe,"BULL_WEAK LONG -- paper tier (re-validated 2026-05-23 +2.08pp EV, 1127 sigs/1y). Forward validation 30d.",100.0000,CAOS,,,0.00,76403.00000000,74874.94000000,84043.30000000,2.0000,live
2026-05-24T14:17:02Z,RENDERUSDT,BULL_WEAK,LONG,0,observe,"BULL_WEAK LONG -- paper tier (re-validated 2026-05-23 +2.08pp EV, 1127 sigs/1y). Forward validation 30d.",100.0000,CAOS,,,0.00,1.91230000,1.87405400,2.10353000,2.0000,live
2026-05-24T14:17:17Z,SUIUSDT,BULL_WEAK,LONG,0,observe,"BULL_WEAK LONG -- paper tier (re-validated 2026-05-23 +2.08pp EV, 1127 sigs/1y). Forward validation 30d.",100.0000,CAOS,,,0.00,1.03550000,1.01479000,1.13905000,2.0000,live
